Tournament,Stage,Match Type,Player,Teams,Agents,Rounds Played,Rating,Average Combat Score,Kills:Deaths,"Kill, Assist, Trade, Survive %",Average Damage Per Round,Kills Per Round,Assists Per Round,First Kills Per Round,First Deaths Per Round,Headshot %,Clutch Success %,Clutches (won/played),Maximum Kills in a Single Map,Kills,Deaths,Assists,First Kills,First Deaths,Cluster
Champions Tour 2023: Pacific League,All Stages,All Match Types,MaKo,DRX,"brimstone, omen, viper",731,1.18,212.0,1.16,77.0,138.0,0.72,0.48,0.08,0.08,24.0,24.0,17/72,31,523,449,348,60,57,Best Perform
Champions Tour 2023: Pacific League,All Stages,All Match Types,Meteor,Gen.G,"jett, raze",593,0.97,219.0,1.0,70.0,145.0,0.76,0.2,0.18,0.17,22.0,13.0,6/48,24,450,450,118,104,102,Best Perform
Champions Tour 2023: Pacific League,All Stages,All Match Types,Monyet,Global Esports,"astra, omen, raze, viper",458,1.13,217.0,1.13,74.0,140.0,0.78,0.41,0.11,0.09,28.0,24.0,11/46,39,358,318,186,51,43,Best Perform
Champions Tour 2023: Pacific League,All Stages,All Match Types,Munchkin,T1,"killjoy, skye",763,1.06,211.0,1.15,71.0,141.0,0.75,0.2,0.09,0.11,22.0,20.0,19/97,26,571,496,154,69,81,Best Perform
Champions Tour 2023: Pacific League,All Stages,All Match Types,Patiphan,Talon Esports,"astra, breach, gekko, harbor, jett, kayo, killjoy, raze, sage",411,0.99,208.0,0.99,66.0,140.0,0.73,0.31,0.09,0.11,26.0,16.0,6/38,24,300,302,127,35,44,Best Perform
Champions Tour 2023: Pacific League,All Stages,All Match Types,Bazzi,Global Esports,"breach, fade, skye, sova",458,1.04,191.0,0.95,77.0,124.0,0.64,0.49,0.05,0.04,18.0,15.0,11/73,25,291,306,224,23,17,Best Perform
Champions Tour 2023: Pacific League,All Stages,All Match Types,JitBoyS,Talon Esports,"astra, breach, cypher, kayo, killjoy, raze, reyna",323,0.96,185.0,0.92,71.0,126.0,0.66,0.29,0.07,0.1,28.0,15.0,7/48,27,214,232,93,22,31,Normal Perform
Champions Tour 2023: Pacific League,All Stages,All Match Types,Jremy,Team Secret,"killjoy, raze, sage",579,0.96,218.0,0.95,72.0,142.0,0.73,0.23,0.15,0.16,17.0,17.0,8/46,22,420,441,134,85,93,Best Perform
Champions Tour 2023: Pacific League,All Stages,All Match Types,ban,T1,"harbor, jett, omen, viper",668,0.94,184.0,0.94,71.0,117.0,0.66,0.29,0.12,0.09,25.0,14.0,10/69,24,441,469,197,82,62,Best Perform
Champions Tour 2023: Pacific League,All Stages,All Match Types,cgrs,Paper Rex,gekko,20,0.89,176.0,0.93,70.0,117.0,0.65,0.1,0.1,0.15,30.0,33.0,0/2,13,13,14,2,2,3,Under Perform
Champions Tour 2023: Pacific League,All Stages,All Match Types,Zest,DRX,"brimstone, fade, harbor, sova",299,1.0,178.0,0.96,73.0,112.0,0.65,0.32,0.06,0.06,35.0,16.0,7/44,19,194,202,95,18,19,Normal Perform
Champions Tour 2023: Pacific League,All Stages,All Match Types,WRONSKI,Global Esports,"jett, kayo, sage",203,0.9,188.0,0.81,71.0,119.0,0.63,0.49,0.13,0.13,26.0,33.0,0/10,23,127,156,99,27,26,Normal Perform
Champions Tour 2023: Pacific League,All Stages,All Match Types,TS,Gen.G,"astra, omen",593,0.93,183.0,0.87,72.0,114.0,0.63,0.45,0.08,0.11,23.0,9.0,6/70,20,372,426,264,49,63,Best Perform
Champions Tour 2023: Pacific League,All Stages,All Match Types,TENNN,ZETA DIVISION,"killjoy, raze, viper",559,0.94,203.0,0.96,74.0,133.0,0.69,0.19,0.12,0.13,24.0,21.0,12/56,27,388,406,106,66,71,Best Perform
Champions Tour 2023: Pacific League,All Stages,All Match Types,Sylvan,Gen.G,"fade, skye, sova",307,1.04,196.0,1.02,75.0,127.0,0.69,0.37,0.09,0.06,24.0,15.0,7/48,21,212,208,114,29,17,Normal Perform
Champions Tour 2023: Pacific League,All Stages,All Match Types,crow,ZETA DIVISION,"breach, harbor, kayo, killjoy, sage",559,0.88,164.0,0.8,75.0,109.0,0.56,0.45,0.05,0.06,25.0,11.0,7/65,22,311,391,251,27,34,Best Perform
Champions Tour 2023: Pacific League,All Stages,All Match Types,Sushiboys,Talon Esports,"jett, killjoy, viper",200,0.86,188.0,0.86,64.0,123.0,0.66,0.19,0.07,0.09,22.0,13.0,4/32,22,132,154,37,13,17,Under Perform
Champions Tour 2023: Pacific League,All Stages,All Match Types,SugarZ3ro,ZETA DIVISION,"astra, brimstone, harbor, omen, viper",559,1.09,210.0,1.09,74.0,133.0,0.75,0.47,0.06,0.08,25.0,11.0,6/55,27,417,382,261,32,43,Best Perform
Champions Tour 2023: Pacific League,All Stages,All Match Types,SkRossi,Global Esports,jett,237,1.02,226.0,1.03,68.0,142.0,0.78,0.18,0.14,0.17,23.0,11.0,2/19,25,185,180,43,34,41,Normal Perform
Champions Tour 2023: Pacific League,All Stages,All Match Types,Seoldam,DetonatioN FocusMe,"jett, raze",270,0.93,218.0,0.92,66.0,132.0,0.73,0.17,0.23,0.21,17.0,33.0,0/21,23,197,213,45,61,58,Normal Perform
Champions Tour 2023: Pacific League,All Stages,All Match Types,Sayaplayer,T1,"jett, raze",763,1.11,236.0,1.25,72.0,155.0,0.84,0.15,0.19,0.16,25.0,17.0,12/69,27,642,513,117,147,123,Best Perform
Champions Tour 2023: Pacific League,All Stages,All Match Types,Reita,DetonatioN FocusMe,"breach, cypher, harbor, killjoy, sage, skye, sova",296,0.87,173.0,0.84,69.0,120.0,0.61,0.31,0.06,0.09,29.0,9.0,3/32,20,182,217,92,18,26,Normal Perform
Champions Tour 2023: Pacific League,All Stages,All Match Types,Rb,DRX,"astra, brimstone, fade, harbor, kayo, killjoy, neon, raze, sova",731,0.99,179.0,0.97,74.0,117.0,0.62,0.31,0.08,0.09,26.0,21.0,21/98,28,455,469,230,56,63,Best Perform
Champions Tour 2023: Pacific League,All Stages,All Match Types,Suggest,DetonatioN FocusMe,"jett, killjoy, raze, sage",290,1.01,219.0,1.01,73.0,148.0,0.76,0.2,0.12,0.11,29.0,7.0,2/30,29,220,218,58,36,33,Normal Perform
Champions Tour 2023: Pacific League,All Stages,All Match Types,eKo,Gen.G,"breach, sova",286,0.9,164.0,0.85,71.0,109.0,0.59,0.37,0.05,0.06,26.0,13.0,7/52,22,169,199,106,15,16,Normal Perform
Champions Tour 2023: Pacific League,All Stages,All Match Types,d4v41,Paper Rex,"kayo, killjoy, skye, sova, viper",603,1.19,207.0,1.27,78.0,136.0,0.75,0.41,0.06,0.06,24.0,16.0,13/79,25,455,358,247,39,38,Best Perform
Champions Tour 2023: Pacific League,All Stages,All Match Types,mindfreak,Paper Rex,"astra, brimstone, omen, viper",623,1.02,170.0,0.99,74.0,107.0,0.6,0.41,0.06,0.08,28.0,15.0,12/80,20,376,379,253,37,48,Best Perform
Champions Tour 2023: Pacific League,All Stages,All Match Types,xeta,T1,"breach, harbor, sova, viper",763,1.1,201.0,1.09,78.0,129.0,0.69,0.37,0.07,0.05,22.0,13.0,12/92,21,525,483,280,50,41,Best Perform
Champions Tour 2023: Pacific League,All Stages,All Match Types,takej,DetonatioN FocusMe,"brimstone, harbor, killjoy, omen, viper",408,0.9,178.0,0.85,72.0,116.0,0.63,0.35,0.09,0.09,32.0,13.0,10/76,24,255,299,143,35,36,Normal Perform
Champions Tour 2023: Pacific League,All Stages,All Match Types,t3xture,Global Esports,"jett, killjoy, raze, sage",438,1.04,220.0,1.11,72.0,140.0,0.79,0.16,0.14,0.12,28.0,19.0,9/47,28,344,310,70,61,52,Best Perform
Champions Tour 2023: Pacific League,All Stages,All Match Types,stax,DRX,"breach, fade, kayo, omen, skye",731,0.96,175.0,0.85,73.0,112.0,0.6,0.46,0.05,0.08,28.0,8.0,5/63,21,436,511,336,40,56,Best Perform
Champions Tour 2023: Pacific League,All Stages,All Match Types,something,Paper Rex,"breach, jett, reyna",491,1.22,231.0,1.37,78.0,145.0,0.85,0.22,0.17,0.11,24.0,25.0,11/44,30,415,304,106,85,55,Best Perform
Champions Tour 2023: Pacific League,All Stages,All Match Types,f0rsakeN,Paper Rex,"cypher, fade, harbor, jett, killjoy, neon, skye, sova, yoru",623,1.08,223.0,1.11,74.0,144.0,0.78,0.28,0.15,0.1,27.0,22.0,8/37,26,484,435,177,94,63,Best Perform
Champions Tour 2023: Pacific League,All Stages,All Match Types,xffero,Rex Regum Qeon,"astra, brimstone, fade, skye, sova, viper",429,1.1,214.0,1.12,74.0,135.0,0.76,0.32,0.09,0.06,24.0,17.0,11/65,29,326,290,138,38,26,Best Perform
Champions Tour 2023: Pacific League,All Stages,All Match Types,lenne,Team Secret,gekko,17,0.78,139.0,0.62,65.0,83.0,0.47,0.29,0.0,0.0,12.0,33.0,0/1,8,8,13,5,0,0,Under Perform
Champions Tour 2023: Pacific League,All Stages,All Match Types,invy,Team Secret,"breach, kayo, skye, viper",562,1.06,203.0,0.99,73.0,131.0,0.72,0.49,0.09,0.08,30.0,17.0,10/60,26,403,409,276,51,43,Best Perform
Champions Tour 2023: Pacific League,All Stages,All Match Types,iNTRO,T1,"harbor, omen, viper",95,0.99,185.0,0.97,77.0,127.0,0.61,0.37,0.0,0.07,26.0,33.0,0/9,14,58,60,35,0,7,Under Perform
Champions Tour 2023: Pacific League,All Stages,All Match Types,garnetS,Talon Esports,"jett, neon, raze",347,0.91,211.0,0.91,70.0,138.0,0.71,0.16,0.17,0.17,23.0,6.0,2/31,24,246,269,57,60,59,Normal Perform
Champions Tour 2023: Pacific League,All Stages,All Match Types,foxz,Talon Esports,"fade, gekko, kayo, skye, sova, yoru",427,0.96,190.0,0.92,71.0,128.0,0.66,0.33,0.08,0.09,26.0,12.0,7/60,22,280,304,142,35,40,Best Perform
Champions Tour 2023: Pacific League,All Stages,All Match Types,fl1pzjder,Rex Regum Qeon,"breach, kayo, skye, sova, viper",429,1.02,192.0,0.93,71.0,120.0,0.66,0.47,0.09,0.07,27.0,13.0,7/55,24,283,303,202,37,32,Best Perform
Champions Tour 2023: Pacific League,All Stages,All Match Types,k1Ng,Gen.G,"killjoy, viper",593,1.05,209.0,1.08,72.0,141.0,0.73,0.23,0.09,0.1,27.0,18.0,15/82,26,435,402,134,53,60,Best Perform
Champions Tour 2023: Pacific League,All Stages,All Match Types,xnfri,DetonatioN FocusMe,"breach, brimstone, harbor, kayo, omen, skye",368,0.84,163.0,0.74,71.0,108.0,0.55,0.44,0.05,0.07,25.0,10.0,4/40,20,203,275,162,17,26,Normal Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,BONECOLD,Team Vitality,"breach, brimstone, fade, omen, sage, skye, sova",563,0.91,171.0,0.81,67.0,110.0,0.59,0.37,0.08,0.11,29.0,18.0,10/57,21,333,412,207,46,60,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,AvovA,Team Heretics,"astra, killjoy, omen, viper",446,0.93,176.0,0.88,69.0,113.0,0.63,0.35,0.05,0.1,25.0,12.0,9/74,25,280,320,156,24,45,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,Boaster,FNATIC,"astra, brimstone, omen, viper",570,1.02,157.0,0.95,77.0,99.0,0.56,0.43,0.06,0.09,19.0,45.0,15/33,17,320,337,243,34,54,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,AtaKaptan,FUT Esports,"astra, breach, brimstone, omen, raze, sage, viper",568,1.01,194.0,1.01,74.0,123.0,0.7,0.39,0.07,0.09,27.0,23.0,13/57,26,395,391,219,37,49,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,MOLSI,Team Vitality,"breach, fade, kayo, killjoy, raze, skye",563,0.97,182.0,0.9,70.0,124.0,0.64,0.35,0.08,0.08,24.0,9.0,6/70,23,358,398,196,45,44,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,Alfajer,FNATIC,"cypher, killjoy",465,1.23,231.0,1.47,77.0,153.0,0.86,0.18,0.12,0.08,27.0,17.0,12/71,29,398,271,84,57,36,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,ANGE1,Natus Vincere,"cypher, gekko, harbor, kayo, omen, sova, viper, yoru",570,0.9,188.0,0.86,71.0,121.0,0.65,0.29,0.14,0.13,31.0,17.0,5/30,25,371,430,166,79,76,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,Boo,Team Heretics,"breach, brimstone, cypher, fade, harbor, killjoy",446,0.91,176.0,0.85,70.0,124.0,0.61,0.25,0.07,0.06,28.0,11.0,7/65,25,274,322,110,30,28,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,AsLanM4shadoW,BBL Esports,"brimstone, killjoy, raze, sage",444,0.96,209.0,1.02,70.0,138.0,0.75,0.2,0.08,0.1,27.0,18.0,8/44,28,332,327,87,37,46,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,MOJJ,FUT Esports,"cypher, killjoy, viper",606,0.94,185.0,0.93,69.0,128.0,0.65,0.19,0.07,0.07,29.0,17.0,11/66,24,394,424,116,45,45,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,Brave,BBL Esports,"astra, brimstone, omen, viper",444,0.99,196.0,0.96,73.0,127.0,0.67,0.35,0.09,0.09,34.0,28.0,12/43,24,298,312,156,39,39,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,Cloud,Giants Gaming,"gekko, skye, sova",563,1.1,220.0,1.1,75.0,144.0,0.77,0.28,0.09,0.1,29.0,15.0,8/54,30,433,395,158,52,59,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,cNed,Natus Vincere,"jett, omen, raze, yoru",570,1.08,226.0,1.11,72.0,149.0,0.79,0.22,0.16,0.15,27.0,10.0,6/62,28,451,407,128,91,84,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,Zyppan,Natus Vincere,"breach, fade, kayo, skye",570,1.08,203.0,1.03,75.0,133.0,0.71,0.41,0.08,0.07,32.0,15.0,7/47,25,406,396,232,48,42,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,ZE1SH,Karmine Corp,"breach, kayo, viper",233,0.66,129.0,0.6,63.0,83.0,0.45,0.31,0.05,0.11,28.0,11.0,3/28,16,104,173,73,11,25,Under Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,Wolfen,KOI,"cypher, jett, killjoy, raze",453,0.84,192.0,0.88,65.0,127.0,0.68,0.17,0.15,0.18,25.0,9.0,3/34,25,308,350,77,67,80,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,Twisten,Team Vitality,"jett, raze, sage",563,1.01,219.0,1.07,67.0,142.0,0.79,0.16,0.17,0.16,23.0,16.0,9/56,33,442,414,89,93,89,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,Turko,BBL Esports,"breach, kayo, skye, sova",444,0.98,167.0,0.91,75.0,110.0,0.61,0.39,0.05,0.06,31.0,14.0,9/63,23,269,297,173,24,26,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,SouhcNi,BBL Esports,"breach, cypher, fade, gekko, harbor, killjoy, sova",444,0.9,167.0,0.83,73.0,113.0,0.57,0.31,0.08,0.09,29.0,13.0,9/69,26,252,302,139,35,39,Normal Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,Shao,Natus Vincere,"astra, brimstone, fade, gekko, killjoy, omen, sage, sova",570,1.12,200.0,1.14,76.0,131.0,0.7,0.32,0.07,0.06,34.0,23.0,22/94,27,400,351,184,41,33,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,ceNder,Team Vitality,"cypher, killjoy, viper",563,1.0,203.0,1.01,69.0,139.0,0.71,0.22,0.09,0.08,28.0,13.0,11/86,21,398,396,122,50,47,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,ScreaM,Karmine Corp,"jett, kayo, raze",393,0.92,214.0,0.96,70.0,146.0,0.75,0.19,0.21,0.16,30.0,11.0,3/28,33,294,306,73,81,62,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,SUYGETSU,Natus Vincere,"cypher, killjoy, sage, viper",570,1.09,199.0,1.13,73.0,134.0,0.73,0.23,0.08,0.05,31.0,11.0,8/76,32,417,368,129,46,30,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,Redgar,Team Liquid,"astra, brimstone, harbor, omen, reyna",786,0.94,174.0,0.88,70.0,113.0,0.61,0.4,0.11,0.11,36.0,13.0,8/63,26,479,547,315,89,88,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,QutionerX,BBL Esports,"jett, omen, raze, sage",444,1.08,243.0,1.13,71.0,159.0,0.86,0.18,0.2,0.16,26.0,15.0,6/39,28,380,335,82,91,70,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,Nivera,Karmine Corp,"cypher, killjoy, omen",393,0.95,197.0,1.03,69.0,128.0,0.72,0.23,0.16,0.1,30.0,14.0,6/42,29,283,275,91,61,40,Normal Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,Newzera,Karmine Corp,"breach, skye, viper",160,0.7,125.0,0.68,65.0,91.0,0.44,0.28,0.04,0.08,40.0,4.0,1/28,20,71,104,44,6,13,Under Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,Leo,FNATIC,"fade, skye, sova",570,1.22,199.0,1.32,84.0,127.0,0.71,0.42,0.03,0.03,21.0,19.0,12/63,24,406,307,239,18,17,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,MrFaliN,FUT Esports,"astra, breach, fade, harbor, omen, skye, sova",606,0.95,184.0,0.92,71.0,118.0,0.66,0.4,0.06,0.11,23.0,14.0,11/76,27,397,433,240,39,67,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,Mixwell,Team Heretics,"breach, harbor, kayo, killjoy, raze, sage, skye, viper, yoru",446,0.85,191.0,0.82,67.0,131.0,0.64,0.33,0.09,0.1,20.0,16.0,7/43,30,286,349,147,41,45,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,Sayf,Team Liquid,"breach, jett, killjoy, neon, raze",738,1.23,249.0,1.34,74.0,157.0,0.87,0.22,0.18,0.13,24.0,21.0,15/72,29,643,480,164,133,99,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,hoody,Giants Gaming,"omen, viper",563,1.07,207.0,1.05,72.0,137.0,0.73,0.31,0.09,0.09,27.0,8.0,7/84,25,410,389,174,49,50,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,kamyk,FNATIC,"cypher, killjoy",105,1.08,200.0,1.23,73.0,127.0,0.75,0.17,0.12,0.07,29.0,7.0,1/15,22,79,64,18,13,7,Under Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,keloqz,Team Heretics,"jett, neon, phoenix",446,0.81,192.0,0.86,64.0,124.0,0.69,0.13,0.15,0.21,25.0,21.0,8/38,23,306,355,56,67,92,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,Derke,FNATIC,"jett, raze",570,1.19,269.0,1.3,74.0,172.0,0.93,0.19,0.26,0.16,25.0,8.0,2/24,30,529,406,106,148,94,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,Destrian,Team Vitality,"breach, brimstone, gekko, harbor, omen, sova",563,0.96,177.0,0.87,71.0,115.0,0.6,0.41,0.06,0.1,24.0,10.0,6/58,24,340,393,230,32,56,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,Fit1nho,Giants Gaming,"jett, kayo",563,1.03,208.0,1.13,73.0,138.0,0.76,0.2,0.17,0.13,30.0,9.0,4/44,31,429,380,113,98,74,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,Harmii,Team Liquid,raze,48,0.84,175.0,0.91,67.0,108.0,0.67,0.15,0.1,0.23,18.0,33.0,0/5,16,32,35,7,5,11,Under Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,Jamppi,Team Liquid,"breach, jett, killjoy, neon, skye, sova",786,1.08,208.0,1.12,71.0,133.0,0.74,0.31,0.08,0.07,26.0,27.0,22/83,26,578,518,247,62,58,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,zeek,Team Heretics,"harbor, raze, sage, skye, sova, viper",277,0.9,196.0,0.87,64.0,131.0,0.67,0.25,0.1,0.1,24.0,27.0,10/37,24,186,215,68,28,29,Normal Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,xms,Karmine Corp,"astra, harbor, killjoy, omen",393,0.86,171.0,0.87,68.0,123.0,0.6,0.22,0.05,0.06,28.0,11.0,7/63,30,235,271,85,19,24,Normal Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,weber,Team Heretics,"breach, kayo, killjoy, skye, sova",169,0.87,155.0,0.8,68.0,109.0,0.56,0.36,0.04,0.05,37.0,19.0,4/21,24,95,119,60,7,9,Under Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,trexx,KOI,"fade, kayo, raze, skye, viper",453,1.11,226.0,1.1,74.0,150.0,0.78,0.36,0.11,0.13,17.0,14.0,8/59,33,353,321,161,49,57,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,starxo,KOI,"breach, fade, omen, raze, skye",453,0.9,183.0,0.84,71.0,125.0,0.65,0.39,0.09,0.11,21.0,10.0,5/48,36,293,349,178,41,51,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,soulcas,Team Liquid,"breach, fade, kayo, omen, sage, skye, viper",786,0.97,168.0,0.92,74.0,110.0,0.6,0.39,0.06,0.06,34.0,9.0,8/93,23,469,512,309,47,50,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,sheydos,KOI,"breach, brimstone, cypher, killjoy, sage, viper",453,1.06,200.0,1.12,75.0,131.0,0.76,0.27,0.06,0.05,28.0,14.0,11/78,36,343,307,121,25,22,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,sh1n,Karmine Corp,"fade, gekko, skye, sova, viper",393,0.85,165.0,0.82,66.0,107.0,0.58,0.26,0.05,0.07,30.0,17.0,6/36,20,229,280,101,21,29,Normal Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,rhyme,Giants Gaming,"astra, breach, harbor, killjoy, omen, sage",563,0.87,162.0,0.78,69.0,106.0,0.57,0.36,0.06,0.1,32.0,12.0,6/52,22,323,412,202,32,56,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,qw1,FUT Esports,"jett, neon, raze",606,1.05,222.0,1.18,68.0,142.0,0.81,0.13,0.21,0.17,24.0,16.0,12/75,28,490,416,81,126,102,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,qRaxs,FUT Esports,"fade, gekko, kayo, sage",606,0.99,192.0,0.95,75.0,123.0,0.69,0.4,0.07,0.08,29.0,9.0,6/65,24,416,440,244,43,47,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,nukkye,Giants Gaming,"kayo, killjoy, raze, viper",563,1.12,218.0,1.08,73.0,148.0,0.73,0.32,0.09,0.08,22.0,17.0,12/70,30,411,379,181,48,45,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,nAts,Team Liquid,"chamber, cypher, fade, killjoy, viper",786,1.11,222.0,1.23,73.0,146.0,0.8,0.27,0.09,0.09,28.0,14.0,12/83,33,630,511,210,73,71,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,koldamenta,KOI,"astra, brimstone, omen, sova",453,0.72,131.0,0.57,65.0,84.0,0.42,0.34,0.04,0.1,23.0,15.0,7/48,14,192,334,155,17,44,Normal Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,Chronicle,FNATIC,"breach, kayo, sage, viper",570,1.22,224.0,1.27,80.0,142.0,0.78,0.46,0.09,0.07,24.0,22.0,11/50,25,446,350,261,53,39,Best Perform
Champions Tour 2023: EMEA League,All Stages,All Match Types,Muj,FUT Esports,skye,38,0.82,170.0,0.77,63.0,109.0,0.61,0.24,0.11,0.08,20.0,33.0,1/3,13,23,30,9,4,3,Under Perform
Champions Tour 2023: Masters Tokyo,All Stages,All Match Types,nobody,EDward Gaming,"skye, sova",341,0.98,192.0,0.96,75.0,126.0,0.68,0.33,0.06,0.1,27.0,21.0,7/33,22,233,242,112,19,33,Normal Perform
Champions Tour 2023: Masters Tokyo,All Stages,All Match Types,BuZz,DRX,"jett, killjoy, raze",231,0.98,220.0,1.01,70.0,144.0,0.73,0.17,0.15,0.15,19.0,14.0,3/21,19,169,167,40,34,35,Normal Perform
Champions Tour 2023: Masters Tokyo,All Stages,All Match Types,MOJJ,FUT Esports,"cypher, killjoy, viper",162,0.91,185.0,0.98,69.0,119.0,0.68,0.19,0.06,0.07,24.0,10.0,3/30,20,110,112,31,9,11,Under Perform
Champions Tour 2023: Masters Tokyo,All Stages,All Match Types,Life,Attacking Soul Esports,jett,101,0.98,221.0,0.96,73.0,144.0,0.78,0.15,0.23,0.13,23.0,33.0,0/8,22,79,82,15,23,13,Under Perform
Champions Tour 2023: Masters Tokyo,All Stages,All Match Types,Less,LOUD,"killjoy, viper",80,0.91,200.0,0.89,65.0,137.0,0.71,0.2,0.04,0.11,23.0,13.0,2/16,26,57,64,16,3,9,Under Perform
Champions Tour 2023: Masters Tokyo,All Stages,All Match Types,Leo,FNATIC,"fade, skye",210,1.29,201.0,1.47,80.0,129.0,0.71,0.45,0.05,0.01,18.0,18.0,4/22,26,150,102,94,11,2,Under Perform
Champions Tour 2023: Masters Tokyo,All Stages,All Match Types,xeta,T1,"breach, harbor, sova, viper",173,0.87,158.0,0.72,72.0,107.0,0.53,0.34,0.04,0.08,19.0,23.0,6/26,18,91,126,59,7,13,Under Perform
Champions Tour 2023: Masters Tokyo,All Stages,All Match Types,tuyz,LOUD,omen,80,0.83,164.0,0.67,64.0,98.0,0.54,0.39,0.08,0.03,31.0,17.0,2/12,17,43,64,31,6,2,Under Perform
Champions Tour 2023: Masters Tokyo,All Stages,All Match Types,stax,DRX,"breach, kayo, skye",231,0.9,163.0,0.78,70.0,109.0,0.56,0.47,0.03,0.08,29.0,15.0,4/27,22,130,167,108,6,19,Normal Perform
Champions Tour 2023: Masters Tokyo,All Stages,All Match Types,soulcas,Team Liquid,"fade, kayo, sage, skye, viper",169,0.94,177.0,0.94,73.0,118.0,0.64,0.29,0.04,0.08,34.0,9.0,2/23,18,109,116,49,7,13,Under Perform
Champions Tour 2023: Masters Tokyo,All Stages,All Match Types,saadhak,LOUD,"kayo, viper",80,0.64,130.0,0.49,65.0,88.0,0.4,0.4,0.05,0.13,18.0,8.0,1/12,10,32,65,32,4,10,Under Perform
Champions Tour 2023: Masters Tokyo,All Stages,All Match Types,s0m,NRG Esports,"astra, brimstone, harbor, omen",351,1.12,209.0,1.16,74.0,136.0,0.75,0.43,0.09,0.09,23.0,15.0,6/39,24,264,228,151,31,30,Normal Perform
Champions Tour 2023: Masters Tokyo,All Stages,All Match Types,qw1,FUT Esports,"jett, neon, raze",162,1.05,225.0,1.18,67.0,142.0,0.85,0.13,0.2,0.19,28.0,17.0,1/6,28,137,116,21,33,31,Under Perform
Champions Tour 2023: Masters Tokyo,All Stages,All Match Types,ANGE1,Natus Vincere,"kayo, omen, sova",124,0.9,163.0,0.7,71.0,109.0,0.52,0.38,0.12,0.08,28.0,9.0,1/11,17,65,93,47,15,10,Under Perform
Champions Tour 2023: Masters Tokyo,All Stages,All Match Types,MaKo,DRX,"brimstone, omen, viper",231,1.06,196.0,0.97,74.0,130.0,0.66,0.53,0.07,0.09,28.0,4.0,1/24,24,152,156,122,16,21,Normal Perform
